pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2020-03-21	"Edge computing in smart homes"	"Journal of Computer Research and Development 57 (9), 1800-1809"	"todo#1"	"todo#2"	18	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&citation_for_view=AZAiLpkAAAAJ:M3ejUd6NZC8C	todo#3
2021-03-21	"SMART: screen-based gesture recognition on commodity mobile devices"	"Proceedings of the 27th Annual International Conference on Mobile Computing …"	"todo#1"	"todo#2"	19	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&citation_for_view=AZAiLpkAAAAJ:IWHjjKOFINEC	todo#3
2022-03-21	"Augmented Adversarial Learning for Human Activity Recognition with Partial Sensor Sets"	"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous …"	"todo#1"	"todo#2"	20	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:-f6ydRqryjwC	todo#3
2020-03-21	"Acoustic Strength-based Motion Tracking"	"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous …"	"todo#1"	"todo#2"	21	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:4DMP91E08xMC	todo#3
2018-03-21	"Backscatter as a Covert Channel in Mobile Devices"	"GetMobile: Mobile Computing and Communications 22 (1), 31-34"	"todo#1"	"todo#2"	22	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:8k81kl-MbHgC	todo#3
2021-03-21	"Securing IoT devices by exploiting backscatter propagation signatures"	"IEEE Transactions on Mobile Computing 21 (12), 4595-4608"	"todo#1"	"todo#2"	23	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:dhFuZR0502QC	todo#3
2021-03-21	"SecurePilot: Improving Wireless Security of Single-Antenna IoT Devices"	"IEEE Internet of Things Journal 9 (2), 1148-1158"	"todo#1"	"todo#2"	24	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:QIV2ME_5wuYC	todo#3
2023-03-21	"BabyNutri: A Cost-Effective Baby Food Macronutrients Analyzer Based on Spectral Reconstruction"	"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous …"	"todo#1"	"todo#2"	25	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:RHpTSmoSYBkC	todo#3
2020-03-21	"Telling Secrets in the Light: An Efficient Key Extraction Mechanism via Ambient Light"	"IEEE Transactions on Wireless Communications 20 (1), 186-198"	"todo#1"	"todo#2"	26	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:qxL8FJ1GzNcC	todo#3
2021-03-21	"Rethinking Fine-grained Measurement from Software-defined Perspective: A Survey"	"IEEE Transactions on Services Computing 15 (6), 3649-3667"	"todo#1"	"todo#2"	27	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:7PzlFSSx8tAC	todo#3
